round,random,epsilon_first,cmab,cmab_trust,cmab_trust_pgrd,truthride
107,-40700.8518,-21230.9943,-4702.9678,18896.102,16596.651,22776.7875
108,-41117.5775,-22110.4101,-4689.1623,19254.0094,16546.2838,22884.3458
109,-41488.9495,-22851.5896,-4529.2761,19506.9061,16711.8107,23018.638
110,-41655.1912,-23952.5322,-4263.8724,20309.6182,17557.9664,23750.416
111,-41953.6885,-24682.4465,-4515.6491,20447.0314,17713.7844,23951.3016
112,-42294.5983,-25420.989,-4557.8962,20851.8157,18018.3638,24414.8336
113,-42483.3299,-25879.5778,-4713.327,20925.0172,18001.6088,24460.4102
114,-42731.3447,-26572.0369,-4757.0344,21068.1659,17916.7236,24553.7992
115,-43614.3786,-27911.4079,-5058.1917,20883.0753,17601.8287,24293.2695
116,-44211.2258,-28740.338,-5509.4158,20710.5019,17389.5468,24242.5134
117,-44550.2674,-29534.8185,-5631.1508,20907.6653,17274.5714,24529.4391
118,-44761.9281,-30327.2959,-5793.5022,21090.2195,17486.8503,24683.0639
119,-45104.3226,-31207.5532,-5952.9863,21319.7741,17411.1633,24739.1318
120,-45814.4751,-32272.7637,-6242.6045,21251.5787,17159.9491,24707.8896
121,-46484.4071,-33511.8909,-6463.1077,21194.6482,17294.9406,24928.1333
122,-46785.5485,-34436.1454,-6468.3122,21143.9395,17527.747,25312.2494
123,-46964.3003,-35281.9415,-6514.0123,21014.0752,17615.8154,25680.3532
124,-47397.1941,-36304.8632,-6638.562,20884.9729,17495.012,25799.7815
125,-47667.2663,-37034.7605,-7101.381,20657.5443,17326.5183,25916.0997
126,-48232.0135,-38309.5647,-7387.2935,20209.5061,17240.3844,26021.0898
127,-48389.2864,-38754.1331,-7331.3895,20005.7208,17106.8185,26115.1986
128,-48796.7762,-39777.0547,-7252.945,19588.7076,16769.6182,26613.2597
129,-49123.6887,-40625.0498,-7574.1912,19078.1317,16781.958,27065.9509
130,-49306.5345,-41697.1742,-7555.6559,18494.227,16569.6215,27357.9061
131,-49616.5692,-42520.4947,-7780.4327,18172.2196,16343.189,27761.7867
132,-49936.4483,-43303.5137,-8039.7964,17677.7144,15929.5715,27614.0131
133,-50186.8525,-43916.4342,-8033.2863,17397.9512,15784.5054,27787.9413
134,-50311.279,-44205.5618,-8122.8538,17191.1272,15596.1138,27898.8323
135,-50513.6223,-45139.9841,-8159.2382,16791.7236,15583.6746,28405.7711
136,-50811.6399,-45819.8601,-8320.3983,16197.4835,15195.6596,28444.1491
137,-50998.5338,-46666.0791,-8153.2129,15470.4973,14772.1902,28865.1157
138,-51309.1928,-47122.1908,-8281.164,15052.4059,14468.4121,29051.5779
139,-51541.9779,-47670.0578,-8385.9565,14513.2163,14008.7263,29187.2177
140,-51969.3212,-48609.0881,-8607.5304,13714.1794,13538.2408,29130.9459
141,-52333.924,-49269.736,-8760.0007,13151.0978,13197.0044,29127.2117
142,-52600.5957,-49802.5078,-9135.3101,12610.4649,12820.7789,29240.9979
143,-52871.307,-50417.8592,-9344.7755,11995.1135,12301.5506,29374.9118
144,-53137.7554,-51087.0797,-9677.5606,11325.893,11676.6394,29407.9662
