round,cmab,cmab_trust,truthride
81,12121.9604,17653.4968,17109.1743
82,12122.112,18019.3794,17569.5841
83,12160.5393,18103.6582,17670.9395
84,12293.3069,18691.0214,18599.6025
85,12415.6519,19285.1021,19191.2543
86,12503.3169,19605.7825,19817.8379
87,12650.9982,20199.8768,20113.2287
88,12745.1186,20536.3129,20583.8208
89,12373.0958,20378.8776,20751.6668
90,12527.9713,20815.71,21482.6308
91,12658.902,21368.9951,22234.4198
92,12453.5491,21382.1938,22424.5638
93,12699.678,21832.8153,23006.9423
94,12932.9014,22287.6363,23265.6573
95,12981.795,22614.3109,23738.4456
96,12839.8573,22897.4979,24099.7001
97,12833.0307,23181.4659,24701.728
98,12881.974,23723.6279,25329.3313
99,12611.2612,23928.507,25671.7644
100,12724.9045,24561.8354,26309.8833
101,12926.4368,25259.3958,27326.5173
102,12704.1328,25606.939,27937.7799
103,12535.9025,25878.3426,28417.8973
104,12420.3453,26093.2447,28789.1404
105,12341.5513,26314.3675,29045.9451
106,12141.9976,26557.7335,29498.8306
107,12539.0755,27100.8808,30141.4448
108,12788.253,27422.8288,30372.2779
109,12976.8985,27658.1627,30742.0239
110,13544.9227,28444.7163,31635.4523
111,13562.5008,28875.9443,32052.4994
112,13585.7086,29326.3534,32521.0375
113,13519.0753,29389.9558,32582.7418
114,13584.748,29563.0376,32699.193
115,13302.4421,29683.0403,32825.1847
116,13185.2788,29650.0255,32985.383
117,13317.4881,29950.4527,33388.4703
118,13084.2424,30120.9291,33821.1883
119,13170.6512,30585.428,34106.2452
120,12967.6322,30789.4025,34433.6278
121,13061.7796,30993.4571,34896.729
122,12948.2308,31180.3959,35390.622
123,12839.8898,31461.3733,35838.7462
124,12676.5085,31782.7484,36278.0169
125,12397.8192,31895.1536,36574.2915
126,12218.2418,32021.944,37005.3178
127,12180.9904,32108.1137,37086.249
128,12310.1542,32510.7443,37808.7932
129,12186.1143,32858.3717,38409.9269
130,12365.6016,33340.8168,39079.3738
131,12274.2809,33419.1893,39545.1161
132,12298.2261,33480.0806,39666.497
133,12433.5656,33638.6496,39824.9179
134,12383.4198,33606.6145,39952.4066
135,12565.2093,33887.5508,40498.4452
136,12562.3326,33788.9722,40564.6579
137,12807.3644,33752.7517,40948.4511
138,12805.4613,33560.8284,41025.7805
139,12784.0983,33400.0368,41302.7826
140,12624.5776,33219.5995,41373.7995
141,12465.6958,33125.6341,41591.117
142,12121.6591,32808.3141,41711.6373
143,11815.5166,32523.6225,41908.9288
144,11641.7394,32184.4617,42090.02
